K,N,dataset_root,h,method,seed,study,variant,parameters,algorithm_time,best_epoch,train_nll,train_drift_rmse,train_covariance_rmse,train_min_raw_eigenvalue,validation_nll,validation_drift_rmse,validation_covariance_rmse,validation_min_raw_eigenvalue,test_nll,test_drift_rmse,test_covariance_rmse,test_min_raw_eigenvalue,final_drift_best_epoch,covariance_best_epoch,train_min_covariance_eig,validation_min_covariance_eig,test_min_covariance_eig,final_drift_best_iteration,covariance_best_iteration,train_raw_spd_violation_rate,validation_raw_spd_violation_rate,test_raw_spd_violation_rate,train_numerical_nonpositive_eig_rate,validation_numerical_nonpositive_eig_rate,test_numerical_nonpositive_eig_rate
1024,80000,dataset_roots/N_80000/h_0.0001,0.0001,joint_fourier,0,regime_N,h_0.0001,14336,114.80152387800626,280,-8.70576382,0.528199852,2.50141954,1.0709361e-05,-8.72605705,0.52924335,2.49557853,1.12605903e-05,-8.69720459,0.526274085,2.44825506,1.06856251e-05,,,,,,,,,,,,,
1024,80000,dataset_roots/N_80000/h_0.0001,0.0001,joint_fourier,1,regime_N,h_0.0001,14336,114.2631929370109,271,-8.66710949,0.441123098,3.32227921,6.2866111e-06,-8.71879864,0.441223383,3.33059955,6.25575422e-06,-8.67084789,0.442433208,3.26265049,6.45975706e-06,,,,,,,,,,,,,
1024,80000,dataset_roots/N_80000/h_0.0001,0.0001,joint_fourier,2,regime_N,h_0.0001,14336,113.40111303701997,288,-8.65792274,0.416256517,3.53311157,6.75029423e-06,-8.70307159,0.415211409,3.56006885,9.05639354e-06,-8.66865063,0.418087333,3.45843911,7.40853875e-06,,,,,,,,,,,,,
1024,80000,dataset_roots/N_80000/h_0.0001,0.0001,joint_fourier,3,regime_N,h_0.0001,14336,115.43821273208596,285,-8.67961502,0.489980131,2.25254941,1.6865697e-05,-8.72130108,0.490443587,2.24635553,1.6966691e-05,-8.67872429,0.4911322,2.21072626,1.7023518e-05,,,,,,,,,,,,,
1024,80000,dataset_roots/N_80000/h_0.0001,0.0001,joint_fourier,4,regime_N,h_0.0001,14336,124.11692977999337,258,-8.7858305,0.414737791,2.42172098,9.86464693e-06,-8.82163429,0.414690942,2.43297362,1.04408e-05,-8.79460716,0.417541891,2.37231636,1.03775646e-05,,,,,,,,,,,,,
1024,80000,dataset_roots/N_80000/h_0.0001,0.0001,joint_fourier,5,regime_N,h_0.0001,14336,107.76634454505984,261,-8.71362782,0.463899493,2.68960834,1.38356991e-05,-8.74587822,0.463694781,2.700207,1.41092141e-05,-8.70345211,0.467121005,2.65293074,1.39555405e-05,,,,,,,,,,,,,
1024,80000,dataset_roots/N_80000/h_0.0001,0.0001,joint_fourier,6,regime_N,h_0.0001,14336,109.47039293206763,294,-8.70334721,0.482013762,3.18219733,9.94816128e-06,-8.74051189,0.482792377,3.17917562,1.05050231e-05,-8.71375751,0.483927369,3.119241,1.01266869e-05,,,,,,,,,,,,,
1024,80000,dataset_roots/N_80000/h_0.0001,0.0001,joint_fourier,7,regime_N,h_0.0001,14336,111.79289355699439,292,-8.71686554,0.509095252,2.69405031,1.11321006e-05,-8.77101421,0.507279456,2.7121923,1.1145954e-05,-8.73841667,0.509399831,2.63727951,1.12148946e-05,,,,,,,,,,,,,
1024,80000,dataset_roots/N_80000/h_0.0001,0.0001,joint_fourier,8,regime_N,h_0.0001,14336,113.50959344301373,298,-8.70855331,0.581575692,2.57791042,1.65320325e-05,-8.74129868,0.580596626,2.59006763,1.6736527e-05,-8.70561886,0.580796063,2.54680562,1.6556618e-05,,,,,,,,,,,,,
1024,80000,dataset_roots/N_80000/h_0.0001,0.0001,joint_fourier,9,regime_N,h_0.0001,14336,110.0480344829848,296,-8.65793419,0.480486423,3.19406796,7.46537216e-06,-8.70048618,0.480447829,3.18688655,9.02730517e-06,-8.66728115,0.479781896,3.11443686,8.1251128e-06,,,,,,,,,,,,,
1024,80000,dataset_roots/N_80000/h_0.0001,0.0001,split_fourier,0,regime_N,h_0.0001,14336,574.3797018859768,,-8.634249687194824,0.9164738655090332,1.6644455194473267,,-8.66988754272461,0.9191552400588989,1.6582210063934326,,-8.647331237792969,0.9214816093444824,1.634019374847412,,21,291,3.3005588193191215e-05,3.287223444203846e-05,3.2981610274873674e-05,,,,,,,,
1024,80000,dataset_roots/N_80000/h_0.0001,0.0001,split_fourier,1,regime_N,h_0.0001,14336,595.2961003029486,,-8.683024406433105,0.6595750451087952,1.6672290563583374,,-8.721386909484863,0.6599661707878113,1.675299048423767,,-8.695158958435059,0.6650525331497192,1.6469810009002686,,3,285,2.3493985281675123e-05,2.38787160924403e-05,2.3793745640432462e-05,,,,,,,,
1024,80000,dataset_roots/N_80000/h_0.0001,0.0001,split_fourier,2,regime_N,h_0.0001,14336,599.4377351839794,,-8.653486251831055,0.598474383354187,2.117570161819458,,-8.68165111541748,0.5991440415382385,2.134120225906372,,-8.657578468322754,0.6023690700531006,2.078458547592163,,1,299,1.715624239295721e-05,1.708728632365819e-05,2.1529707737499848e-05,,,,,,,,
1024,80000,dataset_roots/N_80000/h_0.0001,0.0001,split_fourier,3,regime_N,h_0.0001,14336,566.6634690519422,,-8.68598747253418,0.6334031224250793,1.4445358514785767,,-8.70926284790039,0.6344037055969238,1.438278079032898,,-8.682528495788574,0.6358163952827454,1.4228252172470093,,2,274,3.256151467212476e-05,3.236606062273495e-05,3.267731153755449e-05,,,,,,,,
1024,80000,dataset_roots/N_80000/h_0.0001,0.0001,split_fourier,4,regime_N,h_0.0001,14336,569.2212469760561,,-8.7437744140625,0.626704752445221,1.3606449365615845,,-8.769081115722656,0.6274577379226685,1.3614381551742554,,-8.75331974029541,0.6298994421958923,1.3257758617401123,,2,291,1.825048093451187e-05,1.833262103900779e-05,1.8891541913035326e-05,,,,,,,,
