method,seed,split,nll,drift_rmse,covariance_rmse,min_raw_eigenvalue,min_covariance_eig,raw_spd_violation_rate,numerical_nonpositive_eig_rate
joint_fourier,0,train,-8.25635529,0.382675409,1.11208975,6.05374726e-06,,,
joint_fourier,0,validation,-8.30077362,0.382254928,1.12276995,6.13906423e-06,,,
joint_fourier,0,test,-8.26019478,0.385982096,1.1069417,6.22426523e-06,,,
joint_fourier,1,train,-8.36280155,0.488656342,0.761715353,5.62212972e-06,,,
joint_fourier,1,validation,-8.40566063,0.487995088,0.771663308,5.63853519e-06,,,
joint_fourier,1,test,-8.35727501,0.494384736,0.754722774,5.63079675e-06,,,
joint_fourier,2,train,-8.33897972,0.443688184,0.704516232,5.20319827e-06,,,
joint_fourier,2,validation,-8.38788414,0.443464696,0.70194453,5.33868706e-06,,,
joint_fourier,2,test,-8.33859921,0.446874946,0.710013688,5.33912134e-06,,,
joint_fourier,3,train,-8.2856245,0.528456867,0.542793572,5.8102296e-06,,,
joint_fourier,3,validation,-8.31993675,0.527900517,0.543923557,5.81792074e-06,,,
joint_fourier,3,test,-8.27275181,0.534938514,0.554317057,5.84237659e-06,,,
joint_fourier,4,train,-8.53252029,0.339456409,0.744298339,4.263969e-06,,,
joint_fourier,4,validation,-8.57211876,0.338650793,0.748152137,4.4303406e-06,,,
joint_fourier,4,test,-8.52145004,0.344533473,0.752054811,4.23007123e-06,,,
joint_fourier,5,train,-8.30890465,0.494697958,0.628197074,5.93645336e-06,,,
joint_fourier,5,validation,-8.35146809,0.493804485,0.627193987,5.96503378e-06,,,
joint_fourier,5,test,-8.29934406,0.497590303,0.633234203,5.98761517e-06,,,
joint_fourier,6,train,-8.3216877,0.409449577,1.08957589,2.53361782e-06,,,
joint_fourier,6,validation,-8.36238766,0.409457326,1.09491384,2.63459197e-06,,,
joint_fourier,6,test,-8.31048393,0.414763272,1.09669185,2.53598205e-06,,,
joint_fourier,7,train,-8.35531998,0.428887784,0.748598874,3.66259951e-06,,,
joint_fourier,7,validation,-8.40346813,0.428566128,0.749911726,4.18760055e-06,,,
joint_fourier,7,test,-8.34653378,0.433495134,0.746592999,3.98373231e-06,,,
joint_fourier,8,train,-8.3277998,0.511466563,0.759616792,5.76661432e-06,,,
joint_fourier,8,validation,-8.36898613,0.509841919,0.760770798,5.76973525e-06,,,
joint_fourier,8,test,-8.31930923,0.516188085,0.760667741,5.76995171e-06,,,
joint_fourier,9,train,-8.36623192,0.470992565,0.620021045,5.77040328e-06,,,
joint_fourier,9,validation,-8.40266037,0.47004053,0.621304095,5.79334073e-06,,,
joint_fourier,9,test,-8.35643578,0.477216214,0.62708497,5.79684502e-06,,,
joint_fourier,10,train,-8.34036064,0.555977166,0.855912209,4.57535452e-06,,,
joint_fourier,10,validation,-8.38499069,0.553183198,0.858681202,4.60377123e-06,,,
joint_fourier,10,test,-8.32921696,0.562652826,0.854605734,4.63980768e-06,,,
joint_fourier,11,train,-8.36872196,0.453261018,0.910411239,2.79467417e-06,,,
joint_fourier,11,validation,-8.40974903,0.453088522,0.916461408,2.90204957e-06,,,
joint_fourier,11,test,-8.36389732,0.458317369,0.896797955,2.88182582e-06,,,
joint_fourier,12,train,-8.29024696,0.467705816,0.902041733,7.02544276e-06,,,
joint_fourier,12,validation,-8.33264351,0.467076689,0.90124464,6.99998691e-06,,,
joint_fourier,12,test,-8.28573227,0.473281175,0.911670148,7.07733216e-06,,,
joint_fourier,13,train,-8.33590317,0.343275636,0.696952045,4.03351669e-06,,,
joint_fourier,13,validation,-8.37270927,0.3416031,0.700753748,4.0668333e-06,,,
joint_fourier,13,test,-8.32561684,0.347079635,0.71165055,4.12362169e-06,,,
joint_fourier,14,train,-8.40516567,0.424565017,0.625462472,5.62379182e-06,,,
joint_fourier,14,validation,-8.44843769,0.423699826,0.628039896,5.58208558e-06,,,
joint_fourier,14,test,-8.39298725,0.428141743,0.629925609,5.65716255e-06,,,
joint_fourier,15,train,-8.33993721,0.444074661,0.691288054,5.91105891e-06,,,
joint_fourier,15,validation,-8.39222908,0.443756759,0.692808509,5.95053962e-06,,,
joint_fourier,15,test,-8.33715439,0.4492504,0.689744115,5.96163545e-06,,,
joint_fourier,16,train,-8.33295727,0.424558371,0.747986257,4.52992754e-06,,,
joint_fourier,16,validation,-8.37402344,0.424499989,0.747958124,4.492058e-06,,,
joint_fourier,16,test,-8.33267689,0.429564774,0.756581485,4.56967973e-06,,,
joint_fourier,17,train,-8.18867016,0.494607985,1.1220063,7.82005191e-06,,,
joint_fourier,17,validation,-8.23281384,0.494217813,1.11221468,7.84026997e-06,,,
