K,N,dataset_root,h,method,seed,study,variant,parameters,algorithm_time,best_epoch,train_nll,train_drift_rmse,train_covariance_rmse,train_min_raw_eigenvalue,validation_nll,validation_drift_rmse,validation_covariance_rmse,validation_min_raw_eigenvalue,test_nll,test_drift_rmse,test_covariance_rmse,test_min_raw_eigenvalue,final_drift_best_epoch,covariance_best_epoch,train_min_covariance_eig,validation_min_covariance_eig,test_min_covariance_eig,final_drift_best_iteration,covariance_best_iteration,train_raw_spd_violation_rate,validation_raw_spd_violation_rate,test_raw_spd_violation_rate,train_numerical_nonpositive_eig_rate,validation_numerical_nonpositive_eig_rate,test_numerical_nonpositive_eig_rate
64,640000,dataset_roots/N_640000/h_0.0001,0.0001,joint_fourier,0,regime_capacity,h_0.0001,896,830.2397209729534,298,-8.75426674,0.0920683816,0.6671682,4.47591219e-06,-8.80542946,0.0921500698,0.673480093,4.73289265e-06,-8.76664734,0.0917741731,0.650670767,4.57195119e-06,,,,,,,,,,,,,
64,640000,dataset_roots/N_640000/h_0.0001,0.0001,joint_fourier,1,regime_capacity,h_0.0001,896,837.6446033599786,286,-8.66223431,0.241877303,0.82658571,1.61069943e-06,-8.69317818,0.242013365,0.832040668,1.88144725e-06,-8.64669037,0.241326138,0.859725237,1.84481905e-06,,,,,,,,,,,,,
64,640000,dataset_roots/N_640000/h_0.0001,0.0001,joint_fourier,2,regime_capacity,h_0.0001,896,871.3048188199755,298,-8.72796535,0.105570242,0.550740182,1.57562783e-06,-8.76136684,0.104510903,0.554299057,1.66354675e-06,-8.7192831,0.1058961,0.544868767,1.78829487e-06,,,,,,,,,,,,,
64,640000,dataset_roots/N_640000/h_0.0001,0.0001,joint_fourier,3,regime_capacity,h_0.0001,896,822.6197394430637,295,-8.4701395,0.285810053,0.548007309,4.62268645e-06,-8.50538921,0.285789967,0.547112405,5.22044229e-06,-8.46570969,0.286680073,0.544263244,5.2872615e-06,,,,,,,,,,,,,
64,640000,dataset_roots/N_640000/h_0.0001,0.0001,joint_fourier,4,regime_capacity,h_0.0001,896,901.1425676089711,298,-8.7266798,0.157780662,0.799162865,2.7776141e-06,-8.75907612,0.158434331,0.808731973,2.83379495e-06,-8.71536732,0.156307116,0.793376267,2.90136063e-06,,,,,,,,,,,,,
64,640000,dataset_roots/N_640000/h_0.0001,0.0001,joint_fourier,5,regime_capacity,h_0.0001,896,830.2232439740328,299,-8.70757484,0.195429429,0.711414874,7.88108082e-07,-8.73933697,0.194947943,0.712108374,8.69389282e-07,-8.70413685,0.195565715,0.707507253,9.93273488e-07,,,,,,,,,,,,,
64,640000,dataset_roots/N_640000/h_0.0001,0.0001,joint_fourier,6,regime_capacity,h_0.0001,896,880.4487420730293,289,-8.63337135,0.217648655,0.586553574,8.87709632e-07,-8.66633511,0.216853604,0.588571727,9.36236574e-07,-8.62407303,0.218190417,0.595694423,1.00710304e-06,,,,,,,,,,,,,
64,640000,dataset_roots/N_640000/h_0.0001,0.0001,joint_fourier,7,regime_capacity,h_0.0001,896,838.943626357941,299,-8.78859234,0.137601927,0.538203359,2.49730783e-06,-8.8346653,0.137437254,0.544049323,2.5098177e-06,-8.79639244,0.136874229,0.532924294,2.59489025e-06,,,,,,,,,,,,,
64,640000,dataset_roots/N_640000/h_0.0001,0.0001,joint_fourier,8,regime_capacity,h_0.0001,896,833.8426311509684,296,-8.61285877,0.249982476,0.76907742,2.38260122e-06,-8.65246105,0.249874368,0.77548188,2.79031929e-06,-8.6022501,0.249530718,0.783714116,2.86605678e-06,,,,,,,,,,,,,
64,640000,dataset_roots/N_640000/h_0.0001,0.0001,joint_fourier,9,regime_capacity,h_0.0001,896,890.8874352640705,298,-8.60717297,0.267667413,0.591005862,1.85633417e-06,-8.65886879,0.26663363,0.593828142,1.97524332e-06,-8.60599709,0.268443853,0.584637105,2.3412706e-06,,,,,,,,,,,,,
64,640000,dataset_roots/N_640000/h_0.0001,0.0001,split_fourier,0,regime_capacity,h_0.0001,896,4517.733760847012,,-8.827831268310547,0.2721998393535614,0.783971905708313,,-8.873922348022461,0.2733811140060425,0.7923344969749451,,-8.842246055603027,0.274338960647583,0.7675049901008606,,39,297,2.3943027827044716e-06,2.7009148197976174e-06,2.596161039036815e-06,,,,,,,,
64,640000,dataset_roots/N_640000/h_0.0001,0.0001,split_fourier,1,regime_capacity,h_0.0001,896,4406.745740968967,,-8.657865524291992,0.30791109800338745,0.8439921736717224,,-8.690168380737305,0.3087823688983917,0.8483019471168518,,-8.648561477661133,0.30969634652137756,0.8738683462142944,,90,290,1.8992199102285667e-06,2.31503736358718e-06,2.2249657831707736e-06,,,,,,,,
64,640000,dataset_roots/N_640000/h_0.0001,0.0001,split_fourier,2,regime_capacity,h_0.0001,896,4434.942600646988,,-8.7256441116333,0.24893508851528168,0.5552276372909546,,-8.752693176269531,0.2517525255680084,0.5577229261398315,,-8.726110458374023,0.24702657759189606,0.5499201416969299,,9,298,3.353409283590736e-06,3.7586560210911557e-06,3.617149332058034e-06,,,,,,,,
