K,N,dataset_root,h,method,seed,study,variant,parameters,algorithm_time,reused,train_nll,train_drift_rmse,train_covariance_rmse,train_min_raw_eigenvalue,train_nll_minus_log_h,validation_nll,validation_drift_rmse,validation_covariance_rmse,validation_min_raw_eigenvalue,validation_nll_minus_log_h,test_nll,test_drift_rmse,test_covariance_rmse,test_min_raw_eigenvalue,test_nll_minus_log_h,train_min_covariance_eig,validation_min_covariance_eig,test_min_covariance_eig,train_raw_spd_violation_rate,validation_raw_spd_violation_rate,test_raw_spd_violation_rate,train_numerical_nonpositive_eig_rate,validation_numerical_nonpositive_eig_rate,test_numerical_nonpositive_eig_rate
1024,640000,dataset_roots/N_640000/h_2.5e-05,2.5e-05,joint_fourier,0,regime_h,h_2.5e-05,14336,843.4167267669691,True,-10.5846024,0.288116723,1.29854536,6.42003761e-06,0.012032333096072989,-10.583436,0.286397934,1.29233766,6.41856968e-06,0.01319873309607189,-10.5796938,0.286521941,1.28191543,6.63756964e-06,0.016940933096073252,,,,,,,,,
1024,640000,dataset_roots/N_640000/h_2.5e-05,2.5e-05,joint_fourier,1,regime_h,h_2.5e-05,14336,849.444007373997,True,-10.5372858,0.331748307,1.47952807,8.43592261e-06,0.05934893309607325,-10.536562,0.32874769,1.47895122,8.50742617e-06,0.06007273309607264,-10.5278149,0.333498091,1.46792614,8.48610307e-06,0.06881983309607342,,,,,,,,,
1024,640000,dataset_roots/N_640000/h_2.5e-05,2.5e-05,joint_fourier,2,regime_h,h_2.5e-05,14336,843.717983936076,True,-10.4529314,0.344257176,1.65220606,8.65022412e-06,0.14370333309607197,-10.452466,0.340702474,1.64995825,8.7501594e-06,0.14416873309607325,-10.4414291,0.348863214,1.64297593,8.79666368e-06,0.15520563309607205,,,,,,,,,
1024,640000,dataset_roots/N_640000/h_2.5e-05,2.5e-05,joint_fourier,3,regime_h,h_2.5e-05,14336,842.7827293910086,True,-10.6177387,0.258870393,1.50445151,6.45134651e-06,-0.021103966903927684,-10.6101484,0.255428165,1.49541414,6.46393755e-06,-0.013513666903927302,-10.6117373,0.258493304,1.48272634,6.54618952e-06,-0.015102566903927084,,,,,,,,,
1024,640000,dataset_roots/N_640000/h_2.5e-05,2.5e-05,joint_fourier,4,regime_h,h_2.5e-05,14336,831.3332261549076,True,-10.5568247,0.32779488,1.33923268,6.65001744e-06,0.03981003309607267,-10.5596075,0.323432058,1.33470953,6.74960529e-06,0.037027233096072365,-10.5516577,0.330384195,1.32436633,6.97031692e-06,0.044977033096072816,,,,,,,,,
1024,640000,dataset_roots/N_640000/h_2.5e-05,2.5e-05,joint_fourier,5,regime_h,h_2.5e-05,14336,874.1972688450478,True,-10.5365696,0.370025545,1.48682356,9.98864653e-06,0.06006513309607264,-10.5431709,0.367068022,1.47886193,1.01484638e-05,0.05346383309607283,-10.533761,0.3719818,1.46662891,1.01354954e-05,0.06287373309607247,,,,,,,,,
1024,640000,dataset_roots/N_640000/h_2.5e-05,2.5e-05,joint_fourier,6,regime_h,h_2.5e-05,14336,858.2226721380139,True,-10.5122728,0.302434713,2.1579814,6.04639945e-06,0.08436193309607276,-10.5168705,0.30114907,2.14666533,6.26660903e-06,0.07976423309607306,-10.5009327,0.302426696,2.13805985,6.37652329e-06,0.09570203309607273,,,,,,,,,
1024,640000,dataset_roots/N_640000/h_2.5e-05,2.5e-05,joint_fourier,7,regime_h,h_2.5e-05,14336,888.59459555801,True,-10.5761061,0.320612848,1.47852385,5.74037858e-06,0.020528633096072113,-10.5846691,0.31787017,1.47636962,6.07455104e-06,0.011965633096073347,-10.5676069,0.321649224,1.45353031,6.61254398e-06,0.029027833096073152,,,,,,,,,
1024,640000,dataset_roots/N_640000/h_2.5e-05,2.5e-05,joint_fourier,8,regime_h,h_2.5e-05,14336,845.3703325669048,True,-10.5099859,0.342431724,1.32960415,7.92367882e-06,0.08664883309607241,-10.5085888,0.340837449,1.32027268,7.96479708e-06,0.08804593309607256,-10.4965029,0.344264388,1.31565595,8.05091076e-06,0.10013183309607321,,,,,,,,,
1024,640000,dataset_roots/N_640000/h_2.5e-05,2.5e-05,joint_fourier,9,regime_h,h_2.5e-05,14336,839.8197208050406,True,-10.5329714,0.360463053,1.51680827,9.44332442e-06,0.06366333309607342,-10.5315952,0.359813899,1.50833344,9.40828522e-06,0.06503953309607269,-10.5202188,0.360970467,1.49939716,9.48407433e-06,0.07641593309607231,,,,,,,,,
1024,640000,dataset_roots/N_640000/h_2.5e-05,2.5e-05,split_fourier,0,regime_h,h_2.5e-05,14336,4447.817787069012,True,-10.566330909729004,1.4772250652313232,0.985772430896759,,0.030303823367068716,-10.548334121704102,1.475642204284668,0.9813064336776733,,0.04830061139197106,-10.555807113647461,1.4889682531356812,0.9743651747703552,,0.040827619448611685,1.6594489352428354e-05,1.663634793658275e-05,1.6658350432408042e-05,,,,,,
1024,640000,dataset_roots/N_640000/h_2.5e-05,2.5e-05,split_fourier,1,regime_h,h_2.5e-05,14336,4420.383409445989,True,-10.562360763549805,1.258345365524292,1.051876187324524,,0.034273969546267935,-10.568668365478516,1.2559030055999756,1.047193169593811,,0.027966367617556998,-10.556572914123535,1.2728315591812134,1.0401006937026978,,0.040061818972537466,1.4220131561160088e-05,1.5392901332234032e-05,1.588232407812029e-05,,,,,,
1024,640000,dataset_roots/N_640000/h_2.5e-05,2.5e-05,split_fourier,2,regime_h,h_2.5e-05,14336,4298.084233151982,True,-10.526544570922852,1.3414400815963745,0.8907318115234375,,0.07009016217322106,-10.534679412841797,1.3458367586135864,0.8863039612770081,,0.06195532025427575,-10.519726753234863,1.3439847230911255,0.8822759389877319,,0.07690797986120934,1.2671490367210936e-05,1.2792824236385059e-05,1.2977231563127134e-05,,,,,,
1024,640000,dataset_roots/N_640000/h_2.5e-05,2.5e-05,split_fourier,3,regime_h,h_2.5e-05,14336,4347.557629577001,True,-10.565577507019043,1.5972009897232056,1.2800748348236084,,0.031057226077029654,-10.550111770629883,1.5922911167144775,1.2762341499328613,,0.04652296246618981,-10.567591667175293,1.6129363775253296,1.2657707929611206,,0.029043065920779654,1.5629395420546643e-05,1.5975601854734123e-05,1.5998430171748623e-05,,,,,,
1024,640000,dataset_roots/N_640000/h_2.5e-05,2.5e-05,split_fourier,4,regime_h,h_2.5e-05,14336,4400.24441796192,True,-10.490533828735352,1.483354926109314,1.032834529876709,,0.10610090436072106,-10.49489688873291,1.4726377725601196,1.0298279523849487,,0.10173784436316247,-10.482154846191406,1.4889929294586182,1.0261719226837158,,0.11447988690466637,1.35163154482143e-05,1.356520897388691e-05,1.3589591617346741e-05,,,,,,
1024,640000,dataset_roots/N_640000/h_2.5e-05,2.5e-05,split_fourier,5,regime_h,h_2.5e-05,14336,4263.820566399954,True,-10.56490421295166,1.422629952430725,1.1264418363571167,,0.031730520144412466,-10.541443824768066,1.419226050376892,1.1214065551757812,,0.055190908328006216,-10.55176067352295,1.4290515184402466,1.1137278079986572,,0.044874059573123404,1.3797234714729711e-05,1.393497223034501e-05,1.3957446753920522e-05,,,,,,
1024,640000,dataset_roots/N_640000/h_2.5e-05,2.5e-05,split_fourier,6,regime_h,h_2.5e-05,14336,4385.171261135954,True,-10.534326553344727,1.3653881549835205,1.2173876762390137,,0.06230817975134606,-10.520021438598633,1.3701337575912476,1.2137848138809204,,0.07661329449743981,-10.522540092468262,1.3726311922073364,1.2097827196121216,,0.0740946406278109,1.1352987712598406e-05,1.149605213868199e-05,1.1416259440011345e-05,,,,,,
1024,640000,dataset_roots/N_640000/h_2.5e-05,2.5e-05,split_fourier,7,regime_h,h_2.5e-05,14336,4345.458429554943,True,-10.573073387145996,1.2824628353118896,1.055299162864685,,0.02356134595007653,-10.567779541015625,1.2816832065582275,1.0530441999435425,,0.028855192080447623,-10.56574821472168,1.285840392112732,1.0464857816696167,,0.030886518374392935,8.559259185858537e-06,9.221698746841867e-06,9.778042112884577e-06,,,,,,
1024,640000,dataset_roots/N_640000/h_2.5e-05,2.5e-05,split_fourier,8,regime_h,h_2.5e-05,14336,4466.307042585919,True,-10.571470260620117,1.3066269159317017,1.0988168716430664,,0.025164472475955435,-10.570334434509277,1.3167625665664673,1.093536138534546,,0.02630029858679528,-10.563004493713379,1.3124914169311523,1.0887768268585205,,0.033630239382693716,1.6576141206314787e-05,1.6614116248092614e-05,1.657167376833968e-05,,,,,,
1024,640000,dataset_roots/N_640000/h_2.5e-05,2.5e-05,split_fourier,9,regime_h,h_2.5e-05,14336,4293.3250815679785,True,-10.616113662719727,1.346574306488037,1.061944842338562,,-0.01947892962365394,-10.621211051940918,1.3551992177963257,1.0574555397033691,,-0.024576318844845346,-10.611665725708008,1.344617486000061,1.0543946027755737,,-0.01503099261193519,1.9735496607609093e-05,1.993343721551355e-05,1.984797745535616e-05,,,,,,
1024,640000,dataset_roots/N_640000/h_2.5e-05,2.5e-05,arff,0,regime_h,h_2.5e-05,14336,987.004050433985,True,-10.798815727233887,0.5946665406227112,0.0795489251613617,-0.11459729820489883,-0.2021809941378141,-10.808342933654785,0.5961594581604004,0.07743407785892487,-0.1148252785205841,-0.21170820055871253,-10.804749488830566,0.5935921669006348,0.07907944917678833,-0.11485479027032852,-0.20811475573449378,,,,0.4948156177997589,0.49570000171661377,0.48909997940063477,,,
1024,640000,dataset_roots/N_640000/h_2.5e-05,2.5e-05,arff,1,regime_h,h_2.5e-05,14336,992.1701074680313,True,-10.792366981506348,0.6287680268287659,0.08171743154525757,-0.12235372513532639,-0.19573224841027503,-10.804959297180176,0.6294345855712891,0.07955579459667206,-0.12200869619846344,-0.20832456408410316,-10.806108474731445,0.6293371319770813,0.08133591711521149,-0.11795385181903839,-0.2094737416353727,,,,0.4765281081199646,0.47849997878074646,0.47269999980926514,,,
1024,640000,dataset_roots/N_640000/h_2.5e-05,2.5e-05,arff,2,regime_h,h_2.5e-05,14336,990.4594048679573,True,-10.831732749938965,0.5499417781829834,0.07995770126581192,-0.1168341189622879,-0.23509801684289222,-10.844430923461914,0.5505008697509766,0.07783078402280807,-0.11640625447034836,-0.24779619036584144,-10.847942352294922,0.5483845472335815,0.07944445312023163,-0.11532726883888245,-0.25130761919884925,,,,0.4884999990463257,0.49549999833106995,0.4900999963283539,,,
1024,640000,dataset_roots/N_640000/h_2.5e-05,2.5e-05,arff,3,regime_h,h_2.5e-05,14336,984.4988423900213,True,-10.788590431213379,0.6096857786178589,0.08181248605251312,-0.11920376121997833,-0.19195569811730628,-10.800023078918457,0.6109539270401001,0.07966348528862,-0.11943872272968292,-0.2033883458223844,-10.798016548156738,0.6106419563293457,0.08138865977525711,-0.11837273091077805,-0.20138181506066566,,,,0.4754781126976013,0.48569998145103455,0.47279998660087585,,,
1024,640000,dataset_roots/N_640000/h_2.5e-05,2.5e-05,arff,4,regime_h,h_2.5e-05,14336,986.8443345369305,True,-10.779829025268555,0.6280320882797241,0.08085116744041443,-0.12936663627624512,-0.18319429217248206,-10.793931007385254,0.6316500306129456,0.07872495800256729,-0.12723307311534882,-0.19729627428918128,-10.798042297363281,0.6275742650032043,0.080569326877594,-0.12831313908100128,-0.20140756426720863,,,,0.47683122754096985,0.4778999984264374,0.47929999232292175,,,
1024,640000,dataset_roots/N_640000/h_2.5e-05,2.5e-05,arff,5,regime_h,h_2.5e-05,14336,990.8757568490691,True,-10.790675163269043,0.5855376720428467,0.0803285762667656,-0.12639102339744568,-0.19404043017297035,-10.80394458770752,0.5854933261871338,0.07847850769758224,-0.12670579552650452,-0.2073098546114469,-10.806957244873047,0.5819581151008606,0.08001866191625595,-0.12656734883785248,-0.21032251177697425,,,,0.46727654337882996,0.4745999872684479,0.47049999237060547,,,
1024,640000,dataset_roots/N_640000/h_2.5e-05,2.5e-05,arff,6,regime_h,h_2.5e-05,14336,989.9146257720422,True,-10.77644157409668,0.7148146033287048,0.08068680763244629,-0.14220678806304932,-0.17980684100060706,-10.795341491699219,0.7149304151535034,0.07878942787647247,-0.14105935394763947,-0.19870675860314613,-10.804072380065918,0.7150627374649048,0.08025799691677094,-0.13914519548416138,-0.20743764696984535,,,,0.48396560549736023,0.494299978017807,0.492499977350235,,,
