id,h,lambda,seed,reused,artifact,artifact_sha256,train_drift_rmse,train_covariance_rmse,train_nll,train_raw_spd_violation_rate,train_min_raw_eigenvalue,validation_drift_rmse,validation_covariance_rmse,validation_nll,validation_raw_spd_violation_rate,validation_min_raw_eigenvalue,test_drift_rmse,test_covariance_rmse,test_nll,test_raw_spd_violation_rate,test_min_raw_eigenvalue,fold_0_best_iteration,fold_0_best_validation_mse,fold_0_algorithm_time,fold_0_fitting_count,fold_1_best_iteration,fold_1_best_validation_mse,fold_1_algorithm_time,fold_1_fitting_count,fold_2_best_iteration,fold_2_best_validation_mse,fold_2_algorithm_time,fold_2_fitting_count,fold_3_best_iteration,fold_3_best_validation_mse,fold_3_algorithm_time,fold_3_fitting_count,fold_4_best_iteration,fold_4_best_validation_mse,fold_4_algorithm_time,fold_4_fitting_count,final_drift_best_iteration,final_drift_best_validation_mse,final_drift_algorithm_time,final_drift_fitting_count,covariance_best_iteration,covariance_best_validation_mse,covariance_algorithm_time,covariance_fitting_count,algorithm_time,compilation_time,end_to_end_time
h0.0001_lambda0.001_seed0,0.0001,0.001,0,True,results/capacity_regime_ex8_v2/production/regime_h/h_0.0001/K_1024_N_640000/arff/seed_0/artifact.npz,25040f205d409bdc13d00bc34e1083696d1d4a3fe3fea43111f67594304df225,0.28436729311943054,0.08034422248601913,-9.398392677307129,0.46821874380111694,-0.15438975393772125,0.28375479578971863,0.07807854562997818,-9.435179710388184,0.47419998049736023,-0.15076185762882233,0.28318139910697937,0.08013582974672318,-9.421246528625488,0.4713999927043915,-0.15386557579040527,2.0,5019.19970703125,132.30933937896043,460800,2.0,4975.904296875,132.85889749391936,460800,3.0,4957.8759765625,132.5418898249045,460800,1.0,5061.51416015625,132.03551535808947,460800,1.0,4965.87646484375,132.6304428220028,460800,1.0,4997.79833984375,164.76551885006484,576000,300.0,0.6054025292396545,166.18844690499827,576000,993.5855384480674,165.1171679761028,1158.7027064241702
h0.0001_lambda0.008_seed0,0.0001,0.008,0,False,results/ex8_h_lambda_drift_v1/jobs/h0.0001_lambda0.008_seed0/artifact.npz,bc9dab7b250fced96c3cfa1d072a03be8f0492676c81b1ed9e952812e16d51a1,0.2583380937576294,0.07981101423501968,-9.392605781555176,0.47922030091285706,-0.11926043778657913,0.25805580615997314,0.07756391167640686,-9.432331085205078,0.4860999882221222,-0.11877590417861938,0.2574286162853241,0.07945406436920166,-9.410737037658691,0.4837999939918518,-0.11838836967945099,2.0,5019.1923828125,130.0254785178695,460800,5.0,4975.89794921875,131.21467959601432,460800,6.0,4957.87255859375,132.0771640460007,460800,1.0,5061.4208984375,131.78984005888924,460800,1.0,4965.86181640625,131.8393757659942,460800,1.0,4997.7314453125,164.3766526260879,576000,300.0,0.605431854724884,164.20491952402517,576000,985.8232147439849,161.27213631593622,1147.095351059921
h0.0001_lambda0.064_seed0,0.0001,0.064,0,False,results/ex8_h_lambda_drift_v1/jobs/h0.0001_lambda0.064_seed0/artifact.npz,254bf6e0fb54432d14932b2fc3a319a6335093b481a4d323b8630533a9664612,0.23591910302639008,0.0787479355931282,-9.434700965881348,0.48272499442100525,-0.13564053177833557,0.2362903654575348,0.0763678029179573,-9.462371826171875,0.4820999801158905,-0.13063155114650726,0.23470117151737213,0.07828819751739502,-9.454719543457031,0.48169997334480286,-0.1344342976808548,1.0,5019.15283203125,131.6429838631302,460800,43.0,4975.8544921875,132.78494295105338,460800,6.0,4957.83251953125,132.29002411896363,460800,1.0,5061.3310546875,132.09488397999667,460800,1.0,4965.86767578125,131.91534649208188,460800,1.0,4997.697265625,164.8750571210403,576000,300.0,0.6050528287887573,164.69121327786706,576000,990.5787781230174,165.16589771490544,1155.7446758379228
h0.0001_lambda0.001_seed1,0.0001,0.001,1,True,results/capacity_regime_ex8_v2/production/regime_h/h_0.0001/K_1024_N_640000/arff/seed_1/artifact.npz,e153887256af9f7a2725524e9471cd5d4cc31b5de769db86caee04ac60caa836,0.5316396951675415,0.08033352345228195,-9.39551830291748,0.47532030940055847,-0.13893365859985352,0.5299900770187378,0.07801751792430878,-9.436833381652832,0.48649999499320984,-0.1393926441669464,0.5278520584106445,0.07994867116212845,-9.416234970092773,0.4821999967098236,-0.1394694745540619,3.0,5040.09375,128.57804095896427,460800,1.0,4977.0361328125,130.27957894897554,460800,1.0,5013.72802734375,131.11376171605662,460800,8.0,5031.22607421875,129.63160277891438,460800,1.0,5040.7978515625,129.68166395195294,460800,23.0,5009.9345703125,164.47625364095438,576000,299.0,0.5950148105621338,164.5824336989317,576000,978.5948743680492,165.64754899102263,1144.2424233590718
h0.0001_lambda0.008_seed1,0.0001,0.008,1,False,results/ex8_h_lambda_drift_v1/jobs/h0.0001_lambda0.008_seed1/artifact.npz,585f3f3bbbd308a16f2b247a946c93ecda2af93a29edf8cdf3d1041275b21493,0.545549213886261,0.0815424919128418,-9.39435863494873,0.47367343306541443,-0.13161756098270416,0.5449547171592712,0.0791025161743164,-9.42253589630127,0.4763000011444092,-0.12856630980968475,0.5449556112289429,0.08114589750766754,-9.417536735534668,0.4761999845504761,-0.13059403002262115,1.0,5040.07470703125,131.1412890839856,460800,1.0,4977.00390625,132.75266969413497,460800,1.0,5013.7080078125,132.06822612998076,460800,26.0,5031.22998046875,131.95794224995188,460800,1.0,5040.70556640625,132.258493070025,460800,32.0,5009.93359375,165.37609253590927,576000,300.0,0.5951308012008667,164.9211982509587,576000,990.7597683279309,164.85002678306773,1155.6097951109987
h0.0001_lambda0.064_seed1,0.0001,0.064,1,False,results/ex8_h_lambda_drift_v1/jobs/h0.0001_lambda0.064_seed1/artifact.npz,bf978ebb09f6c59fcfe1379112d726f92b3e7a4389ea120f5dbd053668c49208,0.24098536372184753,0.08076483011245728,-9.408756256103516,0.47453436255455017,-0.11807101964950562,0.2409220188856125,0.07839842885732651,-9.440431594848633,0.4820999801158905,-0.11708524078130722,0.23948104679584503,0.08031903952360153,-9.429866790771484,0.4802999794483185,-0.11770310252904892,1.0,5040.03857421875,128.22394502488896,460800,1.0,4976.98388671875,131.46551479608752,460800,1.0,5013.66650390625,131.53962417691946,460800,35.0,5031.1669921875,131.0229494010564,460800,1.0,5040.59033203125,131.25903702690266,460800,1.0,5009.97314453125,166.11776592489332,576000,292.0,0.5950540900230408,166.0623256911058,576000,986.0059878220782,165.71737594204023,1151.7233637641184
h0.0001_lambda0.001_seed2,0.0001,0.001,2,True,results/capacity_regime_ex8_v2/production/regime_h/h_0.0001/K_1024_N_640000/arff/seed_2/artifact.npz,07889dc2f79286bcaa03171f450e6f56adb7091bfcf604998af5f0a5ee501101,0.3024359941482544,0.07704807072877884,-9.424626350402832,0.4848937392234802,-0.11552523076534271,0.30518969893455505,0.07464689761400223,-9.447555541992188,0.48649999499320984,-0.11438093334436417,0.303145170211792,0.07641217857599258,-9.444999694824219,0.49079999327659607,-0.11473754793405533,95.0,5073.94482421875,131.16156322695315,460800,1.0,4936.03173828125,131.37174061499536,460800,1.0,5021.98046875,131.29752722894773,460800,1.0,4966.9609375,131.34448548895307,460800,1.0,4976.59814453125,131.10035486600827,460800,6.0,4964.16015625,164.13787423004396,576000,299.0,0.5829064249992371,163.98061603703536,576000,984.6499109789729,164.2931439060485,1148.9430548850214
h0.0001_lambda0.008_seed2,0.0001,0.008,2,False,results/ex8_h_lambda_drift_v1/jobs/h0.0001_lambda0.008_seed2/artifact.npz,7503755098fee9e85d4abbfc23bd6f7bb5f352f21bce3a16b6ae92825b3df435,0.30837175250053406,0.07895767688751221,-9.403677940368652,0.46408748626708984,-0.11425474286079407,0.3117630183696747,0.07689150422811508,-9.42815113067627,0.4668999910354614,-0.11334855109453201,0.3093118965625763,0.07820094376802444,-9.421395301818848,0.4649999737739563,-0.1145491823554039,105.0,5073.8544921875,130.70323112397455,460800,1.0,4936.0068359375,131.8522409950383,460800,1.0,5021.92724609375,132.1160669599194,460800,1.0,4966.83642578125,131.5586064220406,460800,1.0,4976.55908203125,131.99803698295727,460800,9.0,4964.1669921875,164.08178861718625,576000,293.0,0.5830566883087158,164.40498481108807,576000,987.0259757668246,164.1489924849011,1151.1749682517257
h0.0001_lambda0.064_seed2,0.0001,0.064,2,False,results/ex8_h_lambda_drift_v1/jobs/h0.0001_lambda0.064_seed2/artifact.npz,7071ac5ab3d8ac8966f3af242f8798c2db1ed3b6cb858e3496684e72064d7366,0.38807523250579834,0.0776619240641594,-9.432024955749512,0.4747906029224396,-0.12735410034656525,0.38865673542022705,0.07522489130496979,-9.459189414978027,0.4790000021457672,-0.12378228455781937,0.388545423746109,0.07694818079471588,-9.453374862670898,0.4756999909877777,-0.12733986973762512,106.0,5073.84130859375,130.7190850120969,460800,1.0,4935.95458984375,131.5052334589418,460800,1.0,5021.8447265625,131.42506848811172,460800,1.0,4966.76025390625,131.18305133096874,460800,1.0,4976.509765625,131.34107683994807,460800,25.0,4964.13525390625,166.69489888916723,576000,299.0,0.5830020904541016,165.7268856591545,576000,988.8910805298947,165.83056474896148,1154.7216452788562
h0.0004_lambda0.001_seed0,0.0004,0.001,0,True,results/capacity_regime_ex8_v2/production/regime_h/h_0.0004/K_1024_N_640000/arff/seed_0/artifact.npz,e504408e821effda1a89f66fcaf3f6ad457ceb7163504eb7c13e5bfcd824cc91,0.21128113567829132,0.08055716753005981,-7.8914475440979,0.4648374915122986,-0.1438622772693634,0.2117077261209488,0.07817729562520981,-7.9328413009643555,0.4640999734401703,-0.14365699887275696,0.2125108540058136,0.08027533441781998,-7.891940593719482,0.4594999849796295,-0.143473818898201,1.0,1239.4659423828125,131.91141084802803,460800,64.0,1243.3009033203125,131.97235618403647,460800,3.0,1239.190185546875,131.38188986293972,460800,1.0,1254.76806640625,131.92499923799187,460800,1.0,1248.4757080078125,131.32948879897594,460800,1.0,1255.3223876953125,164.74184327595867,576000,300.0,0.5731757283210754,164.51865007390734,576000,988.0504436560441,164.48426399508025,1152.5347076511243
