iteration,training_noisy_mse,acceptance_fraction,pre_resampling_ess,unique_parents,maximum_offspring,post_amplitude_norm,post_frequency_rms,post_centered_frequency_rms,proposal_sha256,acceptance_sha256,internal_noisy_mse
1,4934.31298828125,1.0,601.7646684683384,559,14,4.1397163853324175,0.25907645154252906,0.2590654822122699,bb74bcbd4bb32cc71749402a52e0975214aa79941ab42a28d621b7be6feccae7,484ef6e57fc31539b812a1b9e06d7b52400e3aabfae63f9dd44ad3139b51872d,4734.8642578125
2,4932.4384765625,0.8125,618.996659262302,610,15,4.781994763636639,0.41031634490860014,0.41021901840470476,35dfb2db1424c76e0d05ed97c7719fde56441003133ed7590bc40144e4363e57,641e71be5f034a3373eda13596cdedbe9bb60afb217c692bc8b32cbc1d5a0cc5,4741.43994140625
3,4925.03515625,0.9306640625,498.52866054497935,593,26,9.24343650167147,0.575216455446458,0.5748010942473265,4b4961bd4f00c85b9be64f1b7bd2ce83f16beba624f311c6c8bfb23425cd02f4,eb69b3e1e2d759bb2e920b7229192b71716c11f526d97c290f72a89af132a4ec,4744.90771484375
4,4920.8212890625,0.7490234375,608.9813603728162,589,13,7.633054419455349,0.7515634443914344,0.7464820004683546,d72115df4a657f67a3ceefb1f088a98c71f3a2162294dd268772c7ec57c218b6,33df9a65b19cf2e90c850d03082982316363c7854328a04de806b7e6f5d799f8,4747.92529296875
5,4919.32861328125,0.7607421875,702.1059217693676,591,10,6.155338965000253,0.9245442518182337,0.9058993680972149,3e0f0449c16453489eef61b691a2cf60972469272c6466f56d7a967ab7c46e1f,9309621232869762ccf074dc37479ade13fffe66ab6207e517a59f2d20055bb1,4749.560546875
6,4916.9326171875,0.8408203125,703.8059185261894,607,11,6.979925516453348,1.1165533194631765,1.079650925116231,d7e423d2922ce90bd91e5e62e85ec29390bfce25b4cd769a3948524aa3878fdb,13a0611be7cff7d3ab0935da58ef298b6903d38bfd58b3887fa54510efc16380,4749.60986328125
7,4915.01171875,0.828125,765.3570466031454,599,10,7.231733733727493,1.2906454155543352,1.2206912678706319,0b21fe08d30f1bad91a710883634e0491281981856735af2f950d1fe28581f01,8e6527cff58e5062f889c807c11f8c2e9a3820433bdfb018b0c229a42e6768fa,4749.27978515625
8,4913.38232421875,0.841796875,767.2569786943882,616,8,7.190597156472467,1.4611113429352574,1.3592968305432933,dd09d13b0d0d422c295d08f88b7605f4dc815423cf764cc783e6042f93fd3ec4,a14328478d960d0bae00fb85a3e817b0226956073419045b8800662221d2050f,4749.2841796875
9,4911.2119140625,0.84765625,750.3149850867475,600,15,7.648822082213058,1.594893887816431,1.465975299683455,05ca8f4bc6a38586e0293e1091d4527737ae7cd3533b0bce9cdef7109718e26a,d37d158fdb5a090871def3ac79c0664a69eea6b29f68b47e3d7e92d8e4c7efab,4752.1669921875
10,4907.22216796875,0.830078125,690.3676892628249,592,11,8.817288539570672,1.8141514533077776,1.64006586392887,2db48dd5de0a335c65f6c66d35de014941f02b0b36e1e66040cece2acaa87404,7cdb82d142c8c8d3087ef6d0f79c6e4f96c410e6d259c518b573058fe76282ef,4756.30712890625
11,4903.78955078125,0.8642578125,720.9876050438137,595,11,9.426343821502153,2.0509257594136847,1.781817218983973,a799dab3aff8dbf0994fb0320aa6932a9ae1ee93012c5a2dc11b3920c9c0db23,ecf45f67526dc8c4663aa3136154486b52a3dfb58a84201099b1623a8b921de2,4761.5673828125
12,4901.15087890625,0.873046875,783.0706453149992,600,9,9.275606396809998,2.2161436303635376,1.879756845061638,54251ab0205e49932d780afd709171c3670dae754ba9012a5fd582a07c82bdcb,3a1e86194ae1216dedf1ff930a6de73521d0108723e680536a0fdbef4eb5e141,4766.61669921875
13,4896.81884765625,0.8193359375,711.7484173971634,603,12,9.161860819990236,2.3576841643608177,2.007668117456443,996140e65a4d8e328a8296fb71880fc0d55d00975198705ef85534090cba4ab4,9df46f586209e534e2f9caa4aea13fa06c4397a4732cca0274602ae8330e3e55,4773.3798828125
