seed,raw_covariance_rmse,projected_covariance_rmse,raw_spd_violation_rate,min_raw_eigenvalue,eigenvalue_fraction_changed,eigenvalue_change_mean,changed_only_mean,change_q0,changed_only_q0,change_q0.25,changed_only_q0.25,change_q0.5,changed_only_q0.5,change_q0.75,changed_only_q0.75,change_q0.9,changed_only_q0.9,change_q0.95,changed_only_q0.95,change_q0.99,changed_only_q0.99,change_q1,changed_only_q1
0,0.11330161846147174,0.11200211462569862,0.4628,-0.13501541118578064,0.2346,0.009678637622894504,0.04125591484609763,0.0,3.0125451658035395e-05,0.0,0.018970986570773184,0.0,0.03706010090449604,0.0,0.05893132333974086,0.043013936959673836,0.08090247547458353,0.06330352535265954,0.09579551549239392,0.09762184386043904,0.11507377040451894,0.13601541118578064,0.13601541118578064
1,0.11774897386961361,0.11638395204542826,0.4471,-0.19459826557214147,0.22755,0.009129165462791038,0.04011938238976505,0.0,1.1962069806914933e-05,0.0,0.013586498783241974,0.0,0.029627300105981733,0.0,0.05763681409284831,0.0349995784623488,0.09179120185149953,0.06283075142484403,0.1124191306583841,0.1153955445873154,0.13967871451815675,0.19559826557214147,0.19559826557214147
2,0.11728804731344557,0.11600618592702633,0.439,-0.18089046656360028,0.2247,0.009031285913448909,0.04019263868913622,0.0,7.450423064879995e-06,0.0,0.013531253754852614,0.0,0.033992504780591716,0.0,0.06010965237735361,0.03903171402308516,0.0854159403296028,0.06327879405534725,0.10145759631856913,0.10402536706164474,0.12514279390034647,0.18189046656360028,0.18189046656360028
3,0.11403667761616068,0.11271773897819912,0.467,-0.16439546139193265,0.2378,0.009322473561634877,0.03920300067970932,0.0,1.6631289891035246e-06,0.0,0.01521191897136421,0.0,0.031605595242004944,0.0,0.055695695939297074,0.03852701814690674,0.08180017255442781,0.06125506927734168,0.09945984227605126,0.10328401340156142,0.14301752614001983,0.16539546139193265,0.16539546139193265
4,0.1169471851410654,0.11586351925361914,0.4591,-0.16983144812421602,0.2335,0.00844998559234625,0.0361883751278212,0.0,7.734501787564317e-06,0.0,0.01393231012620688,0.0,0.030412719168341658,0.0,0.051102596987410376,0.03553087152718077,0.07595542920047138,0.05568691172688789,0.09253582627316354,0.09618164348648939,0.11991083108525333,0.17083144812421602,0.17083144812421602
5,0.11126082289635864,0.10989708230931988,0.4461,-0.17214462168365663,0.2275,0.008727202438490022,0.038361329399956144,0.0,1.3645485665402489e-05,0.0,0.012839600554788637,0.0,0.028980352825048197,0.0,0.05364516689891302,0.03328350479858883,0.08574604292354819,0.05880812625725184,0.11088841061550254,0.11585380341823334,0.15150741516415667,0.17314462168365663,0.17314462168365663
6,0.11655738654600224,0.11538515051122679,0.4702,-0.20430156841146127,0.2387,0.008829668714726928,0.036990652344897054,0.0,4.057344832244375e-08,0.0,0.015179082102072496,0.0,0.03141948294979558,0.0,0.05024716070408538,0.03702915253881371,0.07290597473709033,0.054060517847723706,0.09499815327931231,0.09903171472331457,0.14891348370607996,0.20530156841146127,0.20530156841146127
7,0.11056286737212619,0.1095155817618042,0.4592,-0.16805256704473587,0.2339,0.007955069154994757,0.0340105564557279,0.0,7.514679521146948e-06,0.0,0.012622935650809804,0.0,0.0266733277180243,0.0,0.050041077742229094,0.03197053517308319,0.07415099687309577,0.05493401943680064,0.08631671015222522,0.08980137178009862,0.1190479139266827,0.16905256704473587,0.16905256704473587
8,0.11175610445382762,0.11051108993443785,0.437,-0.17203101016726213,0.222,0.008598808378737735,0.0387333710753952,0.0,1.807184575203149e-05,0.0,0.013999720350691556,0.0,0.03120675741815356,0.0,0.05677723722204625,0.035846763975977594,0.08370231935824209,0.06083597646039465,0.09921737923075388,0.1014739419280202,0.12555973577387883,0.17303101016726213,0.17303101016726213
9,0.1148223586813451,0.1136267754317701,0.4556,-0.17885140825734577,0.23155,0.009299502101186274,0.04016196113662827,0.0,2.749494636327364e-06,0.0,0.018868542834742368,0.0,0.036649764100816384,0.0,0.0568940962807923,0.041423140971449134,0.07940402459883254,0.060997425774511636,0.08830265457256052,0.090162480600364,0.11710483719766072,0.17985140825734577,0.17985140825734577
10,0.11486684469254459,0.11361204238117402,0.4738,-0.14913019265568775,0.24025,0.009349826336600685,0.0389170711200861,0.0,7.894145347872236e-06,0.0,0.016451638972208138,0.0,0.0335945715866908,0.0,0.054483081079661655,0.04026596134683116,0.07952005591926511,0.060102964233697966,0.0930274855751536,0.09869489597077354,0.12789314165224486,0.15013019265568775,0.15013019265568775
11,0.11108031631837642,0.11001364276483053,0.4588,-0.13941800305796864,0.23345,0.008422649383656439,0.036079029272462794,0.0,1.248908202312795e-05,0.0,0.01460712055864237,0.0,0.03164312418213425,0.0,0.05169811725223919,0.03717871622427151,0.07177083406529933,0.055091776643705404,0.08680021617908226,0.0902978290798957,0.11541396135956566,0.14041800305796864,0.14041800305796864
12,0.11492938478429669,0.11359571196471609,0.4483,-0.18755658588997165,0.22805,0.008750625486783977,0.038371521538188895,0.0,2.1553404244214168e-05,0.0,0.013642680906053788,0.0,0.027601334653435092,0.0,0.052512426374681564,0.03217443798750227,0.08713359798962417,0.056908770694112126,0.1116442564198007,0.11751470316395471,0.15519666447145092,0.18855658588997165,0.18855658588997165
13,0.11385864969866778,0.11256403651761179,0.4502,-0.17200518949791685,0.22865,0.009179747220356521,0.040147593353844394,0.0,9.727082474208192e-06,0.0,0.0172207693915766,0.0,0.03426286068419626,0.0,0.05577344956800118,0.03920670347706236,0.08158797026011973,0.05971319759302294,0.0985533683255577,0.10243004980751502,0.1322515822904434,0.17300518949791685,0.17300518949791685
14,0.11638036094919568,0.11505580014345279,0.4555,-0.18352209964991686,0.2311,0.009138086039470455,0.039541696406189764,0.0,1.8326873083117888e-05,0.0,0.015445262736530928,0.0,0.03162530401954346,0.0,0.05574975387959277,0.03752439541469914,0.0817408574887383,0.060248802008982125,0.09872637292496786,0.10321325958197461,0.15259837718277128,0.18452209964991687,0.18452209964991687
15,0.11679797684968322,0.11571565352730025,0.4572,-0.14243081647775135,0.2331,0.008579372447178671,0.036805544603941115,0.0,1.2970150314927341e-05,0.0,0.01487467783082587,0.0,0.031501238419394124,0.0,0.05305108465400255,0.0363410476626355,0.07454429624915108,0.057367301097891565,0.08985389408687175,0.09415832720249447,0.12234987546830899,0.14343081647775136,0.14343081647775136
16,0.11829830333810613,0.11689537109814885,0.4416,-0.19827149005603176,0.2246,0.009680461816389757,0.04310089855917077,0.0,1.5089513838078238e-05,0.0,0.017836091064200366,0.0,0.0374234533422354,0.0,0.062198024850202746,0.04206088450798798,0.08831724409578957,0.06570928126755396,0.10340881321168258,0.1054326479635775,0.13066605883392096,0.19927149005603176,0.19927149005603176
17,0.11347675474521636,0.11246837577016355,0.4575,-0.13805138138547166,0.23365,0.008057249935005135,0.03448427106785848,0.0,4.2899761469507997e-07,0.0,0.013910328432404195,0.0,0.02945681589972765,0.0,0.04793659097332431,0.03422861310202662,0.07252712488622076,0.051740549183497936,0.08832263371546695,0.09061758263408842,0.11761769825990599,0.13905138138547166,0.13905138138547166
18,0.11413931626908713,0.11304300612569702,0.4549,-0.17619417973159046,0.2315,0.008177044583769734,0.03532200684133794,0.0,1.8907381433375635e-05,0.0,0.014256111045197098,0.0,0.028025374759020498,0.0,0.04817069408721468,0.03221769490788998,0.07411205720172276,0.051979795278584484,0.09286504537527941,0.0963698496260044,0.14216623453079505,0.17719417973159046,0.17719417973159046
19,0.11249113224441265,0.11125953023571176,0.4567,-0.1586210703124452,0.23225,0.009172707569899753,0.039494973390311106,0.0,1.139999987578768e-05,0.0,0.015712678662991336,0.0,0.033376905669549435,0.0,0.05893055149962259,0.03942388284813028,0.0828375416895387,0.06382265618316968,0.09362212970059051,0.09545839950823456,0.11255110263290394,0.1596210703124452,0.1596210703124452
20,0.11466429066402847,0.11335647641702302,0.451,-0.15368133224348482,0.22895,0.009528731942800782,0.04161927033326395,0.0,2.55764718500159e-05,0.0,0.018070696243789944,0.0,0.03650378673598814,0.0,0.05996139688504602,0.04191381182673248,0.08278625340032027,0.0630782497571507,0.09834510430644042,0.100965032289036,0.12225598839870373,0.15468133224348482,0.15468133224348482
21,0.11537761160058947,0.11409053156776222,0.4258,-0.16725669745077854,0.21735,0.008381916677798005,0.03856414390521281,0.0,6.854896424264394e-06,0.0,0.01269277659374316,0.0,0.027941313805134094,0.0,0.05331418637398812,0.030981665943668777,0.09348131108503163,0.057046222785351694,0.11309645888818044,0.1146932841500032,0.14561043844733193,0.16825669745077854,0.16825669745077854
22,0.11247700724486269,0.11126457636365741,0.4432,-0.16603465919307367,0.2253,0.008613101965453188,0.03822948053907317,0.0,3.129566724949153e-05,0.0,0.014205633803718636,0.0,0.031905874483317734,0.0,0.05427149804405302,0.03620047193555975,0.0796984344116637,0.0574963365403039,0.09926874474124416,0.10282125063808152,0.1307017250236041,0.16703465919307367,0.16703465919307367
23,0.11386438205747929,0.11246627348042684,0.4551,-0.16223032082279937,0.23075,0.009675094669207346,0.041928904308590885,0.0,1.9813934452549663e-05,0.0,0.016504508793663164,0.0,0.03584947743544769,0.0,0.0593047567650626,0.04185497047351558,0.08743340957489773,0.06391124125443984,0.10513983848245342,0.10746710820884754,0.13231889019714752,0.16323032082279937,0.16323032082279937
24,0.11084826528810511,0.1098031555428524,0.465,-0.14679287646282366,0.23755,0.008180410399495687,0.03443658345399153,0.0,1.7439549299660614e-06,0.0,0.014021671640027275,0.0,0.02804594648934161,0.0,0.048575677607156885,0.03280041591306132,0.07486725977095271,0.054001290036835875,0.08821369836628198,0.09195820369858847,0.11216809990442425,0.14779287646282366,0.14779287646282366
25,0.11304634856201397,0.11180735937656296,0.4676,-0.18457619930527647,0.23785,0.00903341462166095,0.03797946025503868,0.0,2.994917454279735e-05,0.0,0.015521042360138876,0.0,0.03191677057689532,0.0,0.05227944858788025,0.03736700582696785,0.07853441031392543,0.05729513628269975,0.09641852844085853,0.10189884299003733,0.12937737003724542,0.18557619930527647,0.18557619930527647
26,0.1130603730161231,0.11202556457661415,0.4611,-0.21610653653811618,0.23455,0.008318258327618875,0.035464755180639,0.0,7.312748348336194e-06,0.0,0.015440385445058442,0.0,0.03127063904941677,0.0,0.05000078447426397,0.03594193952809248,0.0700994173793664,0.05369667522306792,0.08375795023133684,0.08634432786076116,0.11235887867873941,0.21710653653811618,0.21710653653811618
