study,seed,K,N,h,raw_spd_violation_rate,minimum_raw_eigenvalue
baseline,0,128,80000,0.0001,0.4635999798774719,-0.13500073552131653
baseline,1,128,80000,0.0001,0.44859999418258667,-0.19451944530010223
baseline,2,128,80000,0.0001,0.44039997458457947,-0.18087440729141235
baseline,3,128,80000,0.0001,0.46799999475479126,-0.16407984495162964
baseline,4,128,80000,0.0001,0.459199994802475,-0.16901665925979614
baseline,5,128,80000,0.0001,0.4493999779224396,-0.17236445844173431
baseline,6,128,80000,0.0001,0.47099998593330383,-0.20387499034404755
baseline,7,128,80000,0.0001,0.45899999141693115,-0.1678006947040558
baseline,8,128,80000,0.0001,0.43779999017715454,-0.17090976238250732
baseline,9,128,80000,0.0001,0.4558999836444855,-0.1779114305973053
baseline,10,128,80000,0.0001,0.47279998660087585,-0.14932358264923096
baseline,11,128,80000,0.0001,0.4602999985218048,-0.13897605240345
baseline,12,128,80000,0.0001,0.4488999843597412,-0.18766728043556213
baseline,13,128,80000,0.0001,0.4504999816417694,-0.1721600890159607
baseline,14,128,80000,0.0001,0.45639997720718384,-0.18316738307476044
baseline,15,128,80000,0.0001,0.4601999819278717,-0.14147990942001343
baseline,16,128,80000,0.0001,0.44110000133514404,-0.1946774125099182
baseline,17,128,80000,0.0001,0.4584999978542328,-0.13751783967018127
baseline,18,128,80000,0.0001,0.4542999863624573,-0.1771005094051361
baseline,19,128,80000,0.0001,0.45829999446868896,-0.15849409997463226
baseline,20,128,80000,0.0001,0.45239999890327454,-0.15476782619953156
baseline,21,128,80000,0.0001,0.4291999936103821,-0.16729126870632172
baseline,22,128,80000,0.0001,0.4423999786376953,-0.165564626455307
baseline,23,128,80000,0.0001,0.4554999768733978,-0.16218772530555725
baseline,24,128,80000,0.0001,0.4649999737739563,-0.1464061439037323
baseline,25,128,80000,0.0001,0.4659999907016754,-0.18510769307613373
baseline,26,128,80000,0.0001,0.4624999761581421,-0.21605895459651947
baseline,27,128,80000,0.0001,0.4585999846458435,-0.16092321276664734
baseline,28,128,80000,0.0001,0.45809999108314514,-0.16715256869792938
baseline,29,128,80000,0.0001,0.4408999979496002,-0.25728902220726013
capacity,0,64,640000,0.0001,0.4390999972820282,-0.16889287531375885
capacity,1,64,640000,0.0001,0.44519999623298645,-0.14941725134849548
capacity,2,64,640000,0.0001,0.43459999561309814,-0.19577382504940033
capacity,3,64,640000,0.0001,0.40299999713897705,-0.15070196986198425
capacity,4,64,640000,0.0001,0.4140999913215637,-0.14671872556209564
capacity,5,64,640000,0.0001,0.4189999997615814,-0.23091810941696167
capacity,6,64,640000,0.0001,0.4414999783039093,-0.2112322449684143
capacity,7,64,640000,0.0001,0.4268999993801117,-0.15159781277179718
capacity,8,64,640000,0.0001,0.4511999785900116,-0.14259454607963562
capacity,9,64,640000,0.0001,0.4211999773979187,-0.16590434312820435
capacity,0,128,640000,0.0001,0.4585999846458435,-0.14478428661823273
capacity,1,128,640000,0.0001,0.4553000032901764,-0.16132277250289917
capacity,2,128,640000,0.0001,0.439300000667572,-0.14239263534545898
capacity,3,128,640000,0.0001,0.46480000019073486,-0.14811037480831146
capacity,4,128,640000,0.0001,0.4567999839782715,-0.17328357696533203
capacity,5,128,640000,0.0001,0.44909998774528503,-0.17790167033672333
capacity,6,128,640000,0.0001,0.4518999755382538,-0.13827791810035706
capacity,7,128,640000,0.0001,0.4705999791622162,-0.1408989578485489
capacity,8,128,640000,0.0001,0.4242999851703644,-0.15134216845035553
capacity,9,128,640000,0.0001,0.43799999356269836,-0.14701253175735474
capacity,0,256,640000,0.0001,0.4706999957561493,-0.1324935406446457
capacity,1,256,640000,0.0001,0.4731999933719635,-0.11440014839172363
capacity,2,256,640000,0.0001,0.48099997639656067,-0.12587867677211761
capacity,3,256,640000,0.0001,0.4706999957561493,-0.1314062923192978
capacity,4,256,640000,0.0001,0.46869999170303345,-0.11200939118862152
capacity,5,256,640000,0.0001,0.45479997992515564,-0.13886916637420654
capacity,6,256,640000,0.0001,0.46779999136924744,-0.1329178512096405
capacity,7,256,640000,0.0001,0.4584999978542328,-0.1364295780658722
capacity,8,256,640000,0.0001,0.4624999761581421,-0.12525026500225067
capacity,9,256,640000,0.0001,0.4773999750614166,-0.12942832708358765
capacity,0,512,640000,0.0001,0.4545999765396118,-0.12256001681089401
capacity,1,512,640000,0.0001,0.47200000286102295,-0.12305838614702225
capacity,2,512,640000,0.0001,0.46779999136924744,-0.1532076746225357
capacity,3,512,640000,0.0001,0.48159998655319214,-0.12868429720401764
capacity,4,512,640000,0.0001,0.4667999744415283,-0.12434184551239014
capacity,5,512,640000,0.0001,0.4756999909877777,-0.12104392796754837
capacity,6,512,640000,0.0001,0.46859997510910034,-0.13173188269138336
capacity,7,512,640000,0.0001,0.4712999761104584,-0.13140670955181122
capacity,8,512,640000,0.0001,0.47999998927116394,-0.1470092087984085
capacity,9,512,640000,0.0001,0.47039997577667236,-0.12376665323972702
capacity,0,1024,640000,0.0001,0.4713999927043915,-0.15386557579040527
capacity,1,1024,640000,0.0001,0.4821999967098236,-0.1394694745540619
capacity,2,1024,640000,0.0001,0.49079999327659607,-0.11473754793405533
capacity,3,1024,640000,0.0001,0.47839999198913574,-0.12591552734375
capacity,4,1024,640000,0.0001,0.4737999737262726,-0.11997642368078232
capacity,5,1024,640000,0.0001,0.47759997844696045,-0.12457624822854996
capacity,6,1024,640000,0.0001,0.47939997911453247,-0.1476520299911499
capacity,7,1024,640000,0.0001,0.4860000014305115,-0.11988415569067001
capacity,8,1024,640000,0.0001,0.4885999858379364,-0.12416628003120422
capacity,9,1024,640000,0.0001,0.47279998660087585,-0.12013968080282211
N,0,1024,80000,0.0001,0.48259997367858887,-0.16550715267658234
N,1,1024,80000,0.0001,0.471699982881546,-0.15599820017814636
N,2,1024,80000,0.0001,0.47609999775886536,-0.1450854390859604
N,3,1024,80000,0.0001,0.4608999788761139,-0.14742743968963623
N,4,1024,80000,0.0001,0.4805999994277954,-0.1540876030921936
N,5,1024,80000,0.0001,0.48539999127388,-0.1533156782388687
N,6,1024,80000,0.0001,0.4764999747276306,-0.14540117979049683
N,7,1024,80000,0.0001,0.4712999761104584,-0.16303502023220062
N,8,1024,80000,0.0001,0.48399999737739563,-0.1457621455192566
N,9,1024,80000,0.0001,0.4684999883174896,-0.12549638748168945
N,0,1024,160000,0.0001,0.48499998450279236,-0.12020346522331238
N,1,1024,160000,0.0001,0.4733999967575073,-0.12419462203979492
N,2,1024,160000,0.0001,0.4878999888896942,-0.13756465911865234
N,3,1024,160000,0.0001,0.4739999771118164,-0.11991177499294281
N,4,1024,160000,0.0001,0.4763000011444092,-0.14112576842308044
N,5,1024,160000,0.0001,0.49399998784065247,-0.13195309042930603
N,6,1024,160000,0.0001,0.4667999744415283,-0.12730547785758972
N,7,1024,160000,0.0001,0.4794999957084656,-0.13732443749904633
N,8,1024,160000,0.0001,0.4860999882221222,-0.12450650334358215
N,9,1024,160000,0.0001,0.4838999807834625,-0.13639512658119202
N,0,1024,320000,0.0001,0.47450000047683716,-0.1364261507987976
N,1,1024,320000,0.0001,0.4764999747276306,-0.11756902188062668
N,2,1024,320000,0.0001,0.47679999470710754,-0.12735973298549652
N,3,1024,320000,0.0001,0.4910999834537506,-0.1334114819765091
N,4,1024,320000,0.0001,0.46779999136924744,-0.13772502541542053
N,5,1024,320000,0.0001,0.4812999963760376,-0.14637930691242218
N,6,1024,320000,0.0001,0.4740999937057495,-0.12354304641485214
N,7,1024,320000,0.0001,0.4772000014781952,-0.137892484664917
N,8,1024,320000,0.0001,0.4723999798297882,-0.13734227418899536
N,9,1024,320000,0.0001,0.49149999022483826,-0.12162967771291733
N,0,1024,640000,0.0001,0.4713999927043915,-0.15386557579040527
N,1,1024,640000,0.0001,0.4821999967098236,-0.1394694745540619
N,2,1024,640000,0.0001,0.49079999327659607,-0.11473754793405533
N,3,1024,640000,0.0001,0.47839999198913574,-0.12591552734375
N,4,1024,640000,0.0001,0.4737999737262726,-0.11997642368078232
N,5,1024,640000,0.0001,0.47759997844696045,-0.12457624822854996
N,6,1024,640000,0.0001,0.47939997911453247,-0.1476520299911499
N,7,1024,640000,0.0001,0.4860000014305115,-0.11988415569067001
N,8,1024,640000,0.0001,0.4885999858379364,-0.12416628003120422
N,9,1024,640000,0.0001,0.47279998660087585,-0.12013968080282211
h,0,1024,640000,2.5e-05,0.48909997940063477,-0.11485479027032852
h,1,1024,640000,2.5e-05,0.47269999980926514,-0.11795385181903839
h,2,1024,640000,2.5e-05,0.4900999963283539,-0.11532726883888245
h,3,1024,640000,2.5e-05,0.47279998660087585,-0.11837273091077805
h,4,1024,640000,2.5e-05,0.47929999232292175,-0.12831313908100128
h,5,1024,640000,2.5e-05,0.47049999237060547,-0.12656734883785248
h,6,1024,640000,2.5e-05,0.492499977350235,-0.13914519548416138
h,7,1024,640000,2.5e-05,0.47919997572898865,-0.1282850056886673
h,8,1024,640000,2.5e-05,0.47749999165534973,-0.11819275468587875
h,9,1024,640000,2.5e-05,0.4749999940395355,-0.1236281767487526
h,0,1024,640000,5e-05,0.4717999994754791,-0.1390346735715866
h,1,1024,640000,5e-05,0.4772999882698059,-0.11964645236730576
h,2,1024,640000,5e-05,0.4777999818325043,-0.11077342927455902
h,3,1024,640000,5e-05,0.4713999927043915,-0.11804386973381042
h,4,1024,640000,5e-05,0.46869999170303345,-0.11217823624610901
h,5,1024,640000,5e-05,0.4893999993801117,-0.13134212791919708
h,6,1024,640000,5e-05,0.48099997639656067,-0.12795118987560272
h,7,1024,640000,5e-05,0.48659998178482056,-0.11725299060344696
h,8,1024,640000,5e-05,0.47689998149871826,-0.11980167776346207
h,9,1024,640000,5e-05,0.4812999963760376,-0.10347030311822891
h,0,1024,640000,0.0001,0.4713999927043915,-0.15386557579040527
h,1,1024,640000,0.0001,0.4821999967098236,-0.1394694745540619
h,2,1024,640000,0.0001,0.49079999327659607,-0.11473754793405533
h,3,1024,640000,0.0001,0.47839999198913574,-0.12591552734375
h,4,1024,640000,0.0001,0.4737999737262726,-0.11997642368078232
h,5,1024,640000,0.0001,0.47759997844696045,-0.12457624822854996
h,6,1024,640000,0.0001,0.47939997911453247,-0.1476520299911499
h,7,1024,640000,0.0001,0.4860000014305115,-0.11988415569067001
h,8,1024,640000,0.0001,0.4885999858379364,-0.12416628003120422
h,9,1024,640000,0.0001,0.47279998660087585,-0.12013968080282211
h,0,1024,640000,0.0002,0.4617999792098999,-0.1281774640083313
h,1,1024,640000,0.0002,0.48019999265670776,-0.12757599353790283
h,2,1024,640000,0.0002,0.47200000286102295,-0.1251140683889389
h,3,1024,640000,0.0002,0.48240000009536743,-0.13350854814052582
h,4,1024,640000,0.0002,0.46539998054504395,-0.1327572613954544
h,5,1024,640000,0.0002,0.48809999227523804,-0.12762199342250824
h,6,1024,640000,0.0002,0.47369998693466187,-0.14699195325374603
h,7,1024,640000,0.0002,0.47599998116493225,-0.12971735000610352
h,8,1024,640000,0.0002,0.4705999791622162,-0.1169617772102356
h,9,1024,640000,0.0002,0.47110000252723694,-0.10914236307144165
h,0,1024,640000,0.0004,0.4594999849796295,-0.143473818898201
h,1,1024,640000,0.0004,0.46059998869895935,-0.11886197328567505
h,2,1024,640000,0.0004,0.4610999822616577,-0.12249495089054108
h,3,1024,640000,0.0004,0.4715999960899353,-0.11133372783660889
h,4,1024,640000,0.0004,0.46309998631477356,-0.12488637864589691
h,5,1024,640000,0.0004,0.4675999879837036,-0.1344691812992096
h,6,1024,640000,0.0004,0.47929999232292175,-0.123720683157444
h,7,1024,640000,0.0004,0.4603999853134155,-0.12953490018844604
h,8,1024,640000,0.0004,0.4684000015258789,-0.12772035598754883
h,9,1024,640000,0.0004,0.4745999872684479,-0.12566550076007843
h,0,1024,640000,0.0008,0.4737999737262726,-0.13614417612552643
h,1,1024,640000,0.0008,0.46719998121261597,-0.11434374749660492
h,2,1024,640000,0.0008,0.4757999777793884,-0.13959288597106934
h,3,1024,640000,0.0008,0.46459999680519104,-0.12315207719802856
h,4,1024,640000,0.0008,0.4756999909877777,-0.11903135478496552
h,5,1024,640000,0.0008,0.46959999203681946,-0.1267118752002716
h,6,1024,640000,0.0008,0.4738999903202057,-0.11048424243927002
h,7,1024,640000,0.0008,0.45179998874664307,-0.1372089684009552
h,8,1024,640000,0.0008,0.46469998359680176,-0.11012616008520126
h,9,1024,640000,0.0008,0.4777999818325043,-0.1308784931898117
h,0,1024,640000,0.001,0.471699982881546,-0.12520825862884521
h,1,1024,640000,0.001,0.48669999837875366,-0.11194877326488495
h,2,1024,640000,0.001,0.4488999843597412,-0.121635302901268
h,3,1024,640000,0.001,0.4633999764919281,-0.14311295747756958
h,4,1024,640000,0.001,0.46779999136924744,-0.11744649708271027
h,5,1024,640000,0.001,0.468999981880188,-0.12741348147392273
h,6,1024,640000,0.001,0.45799997448921204,-0.10980837047100067
h,7,1024,640000,0.001,0.4778999984264374,-0.12203240394592285
h,8,1024,640000,0.001,0.460099995136261,-0.11830277740955353
h,9,1024,640000,0.001,0.4615999758243561,-0.12252853810787201
h,0,1024,640000,0.0015,0.4761999845504761,-0.10902135074138641
h,1,1024,640000,0.0015,0.45179998874664307,-0.10588253289461136
h,2,1024,640000,0.0015,0.46459999680519104,-0.12631456553936005
h,3,1024,640000,0.0015,0.45719999074935913,-0.10841917991638184
h,4,1024,640000,0.0015,0.44909998774528503,-0.14081604778766632
h,5,1024,640000,0.0015,0.45179998874664307,-0.13422244787216187
h,6,1024,640000,0.0015,0.4462999999523163,-0.1326911598443985
h,7,1024,640000,0.0015,0.4585999846458435,-0.14154553413391113
h,8,1024,640000,0.0015,0.4512999951839447,-0.11394461244344711
h,9,1024,640000,0.0015,0.45509999990463257,-0.1289474070072174
h,0,1024,640000,0.002,0.45159998536109924,-0.13771533966064453
h,1,1024,640000,0.002,0.45159998536109924,-0.12122320383787155
h,2,1024,640000,0.002,0.45229998230934143,-0.11970154196023941
h,3,1024,640000,0.002,0.4488999843597412,-0.10822277516126633
h,4,1024,640000,0.002,0.4658999741077423,-0.12954187393188477
h,5,1024,640000,0.002,0.4375999867916107,-0.11291372030973434
h,6,1024,640000,0.002,0.45669999718666077,-0.13407795131206512
h,7,1024,640000,0.002,0.4583999812602997,-0.12059099227190018
h,8,1024,640000,0.002,0.4542999863624573,-0.11459687352180481
h,9,1024,640000,0.002,0.44829997420310974,-0.11349526792764664
