experiment,method,seed,evaluation_split,parameters,algorithm_time,compilation_time,drift_rmse,covariance_rmse,nll,raw_spd_violation_rate,min_raw_eigenvalue
ex1,fourier,0,validation,3072,20.506902472989168,8.702591059030965,0.5313522815704346,0.03185838833451271,-3.296457290649414,0.0,0.10368228703737259
ex1,fourier,1,validation,3072,19.25852420803858,7.107810940942727,0.4863619804382324,0.03189757466316223,-3.296795606613159,0.0,0.10285429656505585
ex1,fourier,2,validation,3072,20.560047121020034,8.476238539034966,0.5424410700798035,0.03217468410730362,-3.295806884765625,0.0,0.10116405040025711
ex1,fourier,3,validation,3072,18.749110400967766,7.075228145055007,0.5402907729148865,0.03223671019077301,-3.2957422733306885,0.0,0.10114027559757233
ex1,fourier,4,validation,3072,22.040512010979,6.967351337021682,0.5052275061607361,0.031286273151636124,-3.2960758209228516,0.0,0.10617038607597351
ex1,fourier,5,validation,3072,19.485417190997396,5.990779627987649,0.4886110723018646,0.032101962715387344,-3.2973644733428955,0.0,0.1014893651008606
ex1,fourier,6,validation,3072,19.931084020994604,6.316471541998908,0.5353896617889404,0.031533244997262955,-3.296147584915161,0.0,0.10376901924610138
ex1,fourier,7,validation,3072,20.322472897998523,5.679951095953584,0.545291006565094,0.029989564791321754,-3.2947638034820557,0.0,0.1026427149772644
ex1,fourier,8,validation,3072,20.319515175011475,5.344892160966992,0.4717327356338501,0.03184164687991142,-3.2974536418914795,0.0,0.10312457382678986
ex1,fourier,9,validation,3072,19.92006230005063,6.614437209966127,0.5295902490615845,0.03172672539949417,-3.296260356903076,0.0,0.10461060702800751
ex1,fourier,10,validation,3072,19.053628090012353,5.401395047956612,0.49687981605529785,0.03182077407836914,-3.29636287689209,0.0,0.10260865092277527
ex1,fourier,11,validation,3072,21.38651869900059,6.706316030991729,0.5296290516853333,0.03200274705886841,-3.2963879108428955,0.0,0.10363087803125381
ex1,fourier,12,validation,3072,20.610930420982186,5.393923098046798,0.5114651322364807,0.03142207860946655,-3.2966442108154297,0.0,0.10430333018302917
ex1,fourier,13,validation,3072,19.570034577976912,6.2433354370296,0.5079129338264465,0.031894389539957047,-3.2966177463531494,0.0,0.10326891392469406
ex1,fourier,14,validation,3072,20.155563912994694,6.120722187915817,0.5174636840820312,0.029379479587078094,-3.2953360080718994,0.0,0.10724683105945587
ex1,fourier,15,validation,3072,19.26118198200129,5.5885769058950245,0.5595916509628296,0.03198935091495514,-3.295217514038086,0.0,0.10198600590229034
ex1,fourier,16,validation,3072,19.911110931949224,5.32422269199742,0.5478154420852661,0.031800854951143265,-3.2954745292663574,0.0,0.10325109958648682
ex1,fourier,17,validation,3072,20.581775997998193,6.477205208037049,0.5102892518043518,0.03215716406702995,-3.2961127758026123,0.0,0.10029096901416779
ex1,fourier,18,validation,3072,20.469264911022037,5.522062102041673,0.51726895570755,0.031858816742897034,-3.29657244682312,0.0,0.10195890069007874
ex1,fourier,19,validation,3072,21.70877562899841,6.485368544992525,0.47655948996543884,0.03172900155186653,-3.297008514404297,0.0,0.10426760464906693
ex1,fourier,20,validation,3072,20.02226579800481,5.164844640996307,0.5254918932914734,0.03137313947081566,-3.2964534759521484,0.0,0.105072021484375
ex1,fourier,21,validation,3072,19.498793890990783,5.800263761077076,0.4716411828994751,0.031913600862026215,-3.297122001647949,0.0,0.10271861404180527
ex1,fourier,22,validation,3072,20.2671634950093,6.207950374984648,0.5292404294013977,0.032143738120794296,-3.2963123321533203,0.0,0.10231851041316986
ex1,fourier,23,validation,3072,20.04873950203182,6.771270858997013,0.5422194600105286,0.03232686221599579,-3.2958180904388428,0.0,0.10057300329208374
ex1,fourier,24,validation,3072,19.961343178001698,5.292091061070096,0.5164712071418762,0.032232873141765594,-3.2964985370635986,0.0,0.1027853712439537
ex1,fourier,25,validation,3072,19.613139385997783,5.96078480995493,0.5169294476509094,0.030185440555214882,-3.2958996295928955,0.0,0.10572727769613266
ex1,fourier,26,validation,3072,20.328652238007635,5.711311510007363,0.5396179556846619,0.03203899413347244,-3.2960073947906494,0.0,0.10150506347417831
ex1,fourier,27,validation,3072,19.69279502797872,6.045141748036258,0.520849883556366,0.0322132334113121,-3.296663284301758,0.0,0.1018916517496109
ex1,fourier,28,validation,3072,20.023109811008908,5.957154715957586,0.5026966333389282,0.03157553821802139,-3.2968060970306396,0.0,0.1041351929306984
ex1,fourier,29,validation,3072,20.48837547097355,5.583969699044246,0.5281916260719299,0.029534542933106422,-3.2948951721191406,0.0,0.10665793716907501
ex1,mlp_shallow,0,validation,2564,21.96913464803947,7.47010874398984,0.6943398714065552,0.014737009070813656,-3.283447265625,0.0,0.1415822058916092
ex1,mlp_shallow,1,validation,2564,22.078199902025517,7.140199379064143,0.7590884566307068,0.014295971021056175,-3.2798147201538086,0.0,0.14173483848571777
ex1,mlp_shallow,2,validation,2564,20.877028778020758,7.232007301994599,0.6736128330230713,0.014923802576959133,-3.283623218536377,0.0,0.14129410684108734
ex1,mlp_shallow,3,validation,2564,23.362038132036105,6.414381142065395,0.760341465473175,0.014428984373807907,-3.2826342582702637,0.0,0.14250317215919495
ex1,mlp_shallow,4,validation,2564,22.766151632997207,7.321854248060845,0.6968787908554077,0.014765388332307339,-3.28294038772583,0.0,0.14141745865345
ex1,mlp_shallow,5,validation,2564,23.115505081019364,7.885310674959328,0.713628351688385,0.014725593850016594,-3.2834606170654297,0.0,0.14185811579227448
ex1,mlp_shallow,6,validation,2564,21.261697598034516,6.3770743980421685,0.7449789643287659,0.014335808344185352,-3.28197979927063,0.0,0.14099961519241333
ex1,mlp_shallow,7,validation,2564,23.684410882997327,6.430947581015062,0.6953965425491333,0.014639317989349365,-3.2848291397094727,0.0,0.13863727450370789
ex1,mlp_shallow,8,validation,2564,21.841361714992672,6.656457751989365,0.7131413221359253,0.014567307196557522,-3.283308744430542,0.0,0.14111708104610443
ex1,mlp_shallow,9,validation,2564,22.27027936698869,6.612619541992899,0.7101762890815735,0.014697329141199589,-3.2837271690368652,0.0,0.14202947914600372
ex1,mlp_shallow,10,validation,2564,21.128732095996384,6.975002491963096,0.6905277967453003,0.01478745136409998,-3.2837886810302734,0.0,0.14157381653785706
ex1,mlp_shallow,11,validation,2564,22.297205315029714,6.4885981809929945,0.7033655047416687,0.014758788049221039,-3.28346586227417,0.0,0.14165963232517242
ex1,mlp_shallow,12,validation,2564,22.866147205990274,6.302083414979279,0.6910427212715149,0.014749518595635891,-3.28369140625,0.0,0.14105220139026642
ex1,mlp_shallow,13,validation,2564,23.76002989098197,6.994907102023717,0.7368110418319702,0.014527764171361923,-3.282257080078125,0.0,0.14244255423545837
ex1,mlp_shallow,14,validation,2564,21.470537474029697,7.38049533998128,0.7372924089431763,0.01438287366181612,-3.2816293239593506,0.0,0.1417684555053711
ex1,mlp_shallow,15,validation,2564,23.19049993302906,6.7059036159771495,0.7040396928787231,0.01457979530096054,-3.283656358718872,0.0,0.14061899483203888
ex1,mlp_shallow,16,validation,2564,22.25793777301442,6.177926383097656,0.694428563117981,0.014721841551363468,-3.2836649417877197,0.0,0.14093980193138123
ex1,mlp_shallow,17,validation,2564,22.319397304032464,6.366496426984668,0.7082048058509827,0.014638167805969715,-3.2838499546051025,0.0,0.14124366641044617
ex1,mlp_shallow,18,validation,2564,21.68273310904624,6.520689727913123,0.7512117624282837,0.014503476209938526,-3.283355712890625,0.0,0.1414237767457962
ex1,mlp_shallow,19,validation,2564,21.526775098987855,6.825099351990502,0.7045091986656189,0.014727547764778137,-3.2829103469848633,0.0,0.14144200086593628
ex1,mlp_shallow,20,validation,2564,21.681820984988008,6.2919129219371825,0.7715327143669128,0.014289557002484798,-3.2816410064697266,0.0,0.1428292691707611
ex1,mlp_shallow,21,validation,2564,22.885599619999994,6.452828916022554,0.7562165856361389,0.014308704994618893,-3.2823047637939453,0.0,0.1422903835773468
ex1,mlp_shallow,22,validation,2564,21.995715795026626,6.783147480979096,0.7645517587661743,0.01434102188795805,-3.281442403793335,0.0,0.14232218265533447
ex1,mlp_shallow,23,validation,2564,22.782562341948505,6.4634121540002525,0.7249273061752319,0.014385913498699665,-3.284010887145996,0.0,0.13980942964553833
ex1,mlp_shallow,24,validation,2564,22.166666615987197,6.017761364986654,0.7087987661361694,0.014582238160073757,-3.2837350368499756,0.0,0.14071780443191528
ex1,mlp_shallow,25,validation,2564,22.21900351997465,6.656046606018208,0.7485901117324829,0.014468496665358543,-3.281687021255493,0.0,0.1424558311700821
ex1,mlp_shallow,26,validation,2564,22.634115864988416,6.5435220440267585,0.7226850390434265,0.01459557469934225,-3.2828493118286133,0.0,0.14115886390209198
ex1,mlp_shallow,27,validation,2564,22.228608188976068,6.314310523972381,0.6941612362861633,0.01465460192412138,-3.2838475704193115,0.0,0.14136148989200592
ex1,mlp_shallow,28,validation,2564,22.670255689008627,5.811784597986843,0.7012879848480225,0.01465797983109951,-3.2838428020477295,0.0,0.1408221423625946
ex1,mlp_shallow,29,validation,2564,23.136736970976926,6.22380332602188,0.6982389092445374,0.01472942903637886,-3.283406972885132,0.0,0.14154762029647827
ex1,mlp_deep,0,validation,34308,23.089014191995375,14.233627179986797,0.5994495153427124,0.028066907078027725,-3.297459125518799,0.0,0.11839988827705383
ex1,mlp_deep,1,validation,34308,23.115636464965064,14.242691048944835,0.5779871940612793,0.027644172310829163,-3.2990400791168213,0.0,0.11801228672266006
ex1,mlp_deep,2,validation,34308,24.6110301319859,13.625786265998613,0.5959776639938354,0.027392636984586716,-3.298754930496216,0.0,0.11911848187446594
ex1,mlp_deep,3,validation,34308,25.160166046989616,13.395905583980493,0.5783118605613708,0.027837932109832764,-3.29939603805542,0.0,0.11890196055173874
ex1,mlp_deep,4,validation,34308,24.117487996991258,14.330100672959816,0.5792072415351868,0.027052775025367737,-3.2999064922332764,0.0,0.12039030343294144
ex1,mlp_deep,5,validation,34308,23.514889489975758,14.829220732965041,0.5707841515541077,0.02757234312593937,-3.3006441593170166,0.0,0.11953707039356232
ex1,mlp_deep,6,validation,34308,23.537434874975588,14.578749061969575,0.5844675302505493,0.02752065844833851,-3.2990734577178955,0.0,0.11960277706384659
ex1,mlp_deep,7,validation,34308,23.89966794505017,12.978509006963577,0.5872940421104431,0.028256885707378387,-3.298275947570801,0.0,0.11870043724775314
ex1,mlp_deep,8,validation,34308,23.427917545021046,15.74689656397095,0.5899263024330139,0.02779727429151535,-3.299072504043579,0.0,0.11925947666168213
ex1,mlp_deep,9,validation,34308,25.213591899024323,15.404013007937465,0.5802526473999023,0.02798902615904808,-3.299285888671875,0.0,0.11809041351079941
ex1,mlp_deep,10,validation,34308,24.76047711301362,14.657094320980832,0.5865920186042786,0.028056206181645393,-3.2975597381591797,0.0,0.11829719692468643
ex1,mlp_deep,11,validation,34308,24.32741188799264,14.08401925797807,0.5647058486938477,0.02805006504058838,-3.299527406692505,0.0,0.11866522580385208
ex1,mlp_deep,12,validation,34308,23.798770107969176,13.723260049009696,0.5787202715873718,0.024051621556282043,-3.2966232299804688,0.0,0.11382371187210083
